Time,X,Y,Vy,Yaw,YawRate,YawAcc,SideSlipAngle,Steer,T_FL,T_FR,T_RL,T_RR
0,2.51192248797939,-5.25000000813128,2.37771233695162e-09,0,0,-6.7803266669067e-08,0,-6.84906457069923e-10,-0.0109315665564204,-0.0109315665564204,-0.00762835934666336,-0.00762835934666336
0.01,2.68691318288689,-5.25000000812639,3.55732167577505e-09,-3.45585223570047e-12,-5.79196713869164e-10,-3.89669071786922e-08,6.22431530541465e-11,-7.13225312793872e-10,-0.00252637604594953,-0.00252636645655498,-0.00159522344012137,-0.00159521216663751
0.02,2.88132073722564,-5.25000000810175,6.21241955132031e-09,-1.15126413807294e-11,-1.00622409640298e-09,-4.45490386219299e-08,2.03419777172502e-10,-7.41198959413464e-10,-0.00251812605009535,-0.00251811643955397,-0.00159257037662006,-0.00159255912012649
0.03,3.07570163994579,-5.25000000804552,9.86013222194401e-09,-2.40668886049936e-11,-1.47097771029579e-09,-5.01006825086865e-08,3.98323013083323e-10,-7.42757914418482e-10,4.84256866845467,4.84256870389861,5.98383699817227,5.9838369831814
0.04,3.27005837217569,-5.25000000795097,1.40252257075332e-08,-4.15951419047768e-11,-1.98698234928934e-09,-5.2673965389558e-08,6.21851843925877e-10,-7.22172395885637e-10,11.7210010739006,11.7210010877479,16.0064795101068,16.0064795223789
0.05,3.4643951290509,-5.25000000781562,1.83599039624247e-08,-6.43417182653312e-11,-2.50657843713917e-09,-5.07706071257646e-08,8.55499557945538e-10,-6.86634914724704e-10,19.0626922625254,19.0626924691169,22.5123650624903,22.5123648767785
0.06,3.65871570318889,-5.25000000764003,2.26079378113287e-08,-9.20886453141032e-11,-2.98518507618651e-09,-4.51097516853961e-08,1.08555755405157e-09,-6.41805402226692e-10,24.2837451854302,24.2837454935259,28.5408267306754,28.540826446116
0.07,3.85302317841612,-5.25000000742697,2.6577930993455e-08,-1.24249640670531e-10,-3.39258600611556e-09,-3.69669825364665e-08,1.30174198485405e-09,-5.9087827144165e-10,27.9972585079299,27.9972588982572,32.8330000864806,32.8329997226429
0.08,4.04731974085078,-5.25000000718076,3.0130244717249e-08,-1.60004239426157e-10,-3.71079217929952e-09,-2.75162354505511e-08,1.49651050577705e-09,-5.35295032692146e-10,30.44540778699,30.4454082322631,35.6706058682311,35.6706054522469
0.09,4.24160683067074,-5.25000000690673,3.31690929947976e-08,-1.98407783800134e-10,-3.93137700031206e-09,-1.75541262436712e-08,1.66464157246029e-09,-4.75626141336477e-10,32.0033060569318,32.0033065316449,37.4862184699386,37.4862180268549
0.1,4.43588535922643,-5.25000000661087,3.56358097655925e-08,-2.38468327907838e-10,-4.05222431329976e-09,-7.59588458879792e-09,1.80287774965284e-09,-4.11819022893417e-10,33.0269104262161,33.026910910771,38.6897658055284,38.6897653546681
0.11,4.6301559182971,-5.25000000629939,3.75026011799055e-08,-2.79196080653473e-10,-4.0751695798079e-09,2.04144357222194e-09,1.90959687698297e-09,-3.4384222856107e-10,33.7851375418775,33.7851380226241,39.5908375929998,39.5908371478476
0.12,4.82441893816612,-5.25000000597849,3.87664203617312e-08,-3.19634528511717e-10,-4.00461167910402e-09,1.11463536290703e-08,1.98449181365813e-09,-2.71785807835073e-10,34.4482064315604,34.4482068992361,40.3851779262297,40.3851774961023
0.13,5.01867479121162,-5.25000000565413,3.94435271334319e-08,-3.58881223850215e-10,-3.84668534612781e-09,1.9573131452107e-08,2.02828660026204e-09,-1.96155429789749e-10,35.1036626046349,35.1036630525526,41.1730918844668,41.1730914760436
0.14,5.21292384691228,-5.25000000533189,3.95646287001175e-08,-3.96102506812802e-10,-3.60884457493561e-09,2.72016751645466e-08,2.04248318796667e-09,-1.17723668270273e-10,35.7814139409401,35.78141436401,41.9884693014435,41.9884689198181
0.15,5.40716649100274,-5.25000000501682,3.91709239025627e-08,-4.30545155588301e-10,-3.2995874142193e-09,3.39332507751796e-08,2.02915477421382e-09,-3.77351106091439e-11,36.4785127814385,36.4785131753363,42.8274420477776,42.8274416970832
0.16,5.6014031241903,-5.2500000047134,3.83106835360226e-08,-4.61546355350251e-10,-2.92838192086436e-09,3.96788520396306e-08,1.99076674591586e-09,4.241128260217e-11,37.1782506380475,37.1782509992134,43.6703540434583,43.6703537270752
0.17,5.79563415215321,-5.25000000442549,3.70366682648635e-08,-4.88542276721251e-10,-2.50545423814188e-09,4.43675024794849e-08,1.93004045203864e-09,1.20991476169549e-10,37.8620798293608,37.8620801548354,44.4954778020461,44.4954775225275
