Time,Road_FR_mu,FR_x,FR_y,FR_z,Road_FL_mu,FL_x,FL_y,FL_z,Road_RR_mu,RR_x,RR_y,RR_z,Road_RL_mu,RL_x,RL_y,RL_z,Ax,Ay,long_slip_FL,long_slip_FR,long_slip_RL,long_slip_RR,lat_slip_FL,lat_slip_FR,lat_slip_RL,lat_slip_RR
0,0.8,0.918874716205208,339.424735025636,6243.09717752744,0.8,0.918875563733943,-339.424866225068,6243.0945166486,0.8,1.36942425714847,383.863102642675,4719.41366179014,0.8,1.36942393201456,-383.862990581876,4719.41145197675,-0.0757319378848532,7.78983551612492e-08,3.49506744933909e-06,3.49506349307105e-06,6.22450123880911e-06,6.22450053572859e-06,0.00257921020463163,-0.00257920867085953,0.00348010765043234,-0.0034801074483799
0.01,0.8,-126.201977559229,338.003646286548,6264.02856210275,0.8,-126.201954033531,-338.00364147278,6264.02647205635,0.8,-107.517900692862,382.358079352168,4746.97876987863,0.8,-107.517872572453,-382.357873327926,4746.97715613456,-0.280740672312127,2.08765562339505e-07,-0.000322381238380765,-0.000322381108825978,-0.000354428032234015,-0.000354428135431395,0.00255968751953344,-0.00255968792319664,0.0034446580024063,-0.00344465963133734
0.02,0.8,-128.994505544958,337.988046517124,6274.69920486073,0.8,-128.994485644078,-337.987863923667,6274.69754796195,0.8,-97.3304182869582,381.985881548659,4753.5275961116,0.8,-97.3303630745473,-381.985547532552,4753.5263589327,-0.277681528060358,3.65377168718612e-07,-0.000478442003591396,-0.000478441971968611,-0.000453340333962882,-0.000453340461473511,0.00256501842972828,-0.00256502007514332,0.00344538875157889,-0.00344539160151316
0.03,0.8,-111.084457690145,339.168234041956,6278.2247634069,0.8,-111.084445567367,-339.167932272865,6278.22343207178,0.8,-77.4054722120439,382.208055027046,4753.23040005598,0.8,-77.4054281146678,-382.207639386018,4753.22943483291,-0.2438059368222,4.33747851444125e-07,-0.000409948010902645,-0.000409948010348898,-0.000332200491796016,-0.000332200633353358,0.00257540029738112,-0.00257540268063081,0.00344702894152762,-0.0034470324422181
0.04,0.8,-87.0298647734862,340.39219530658,6276.89661376251,0.8,-87.0298564378574,-340.391826357002,6276.89555312617,0.8,-51.0122481967235,382.015508794888,4754.38329934048,0.8,-51.0122171418209,-382.015058223848,4754.3825631845,-0.199578457046379,4.49322535908354e-07,-0.000322371302366565,-0.000322371309709432,-0.000214758231340471,-0.000214758337270622,0.00258391672128489,-0.00258391949257668,0.00344274604209872,-0.00344274978503249
0.05,0.8,-65.8747955725347,341.163214363509,6272.91631131912,0.8,-65.8747900069203,-341.162817438891,6272.91549096803,0.8,-28.7161814399281,381.614712640421,4756.09905289012,0.8,-28.7161601497828,-381.614263858326,4756.09852056306,-0.161242034783128,4.34417120164686e-07,-0.000237279977177913,-0.000237279983491948,-0.000122059752837892,-0.000122059830348895,0.00258853728460326,-0.00258854018205545,0.00343800137651971,-0.00343800506414211
0.06,0.8,-51.0767764671112,341.4494749705,6267.43092123467,0.8,-51.0767728377699,-341.449079883518,6267.43032079637,0.8,-9.64600736069824,381.275443801694,4757.37650001073,0.8,-9.64599404698961,-381.275023830176,4757.37615132868,-0.131707516311242,3.9935216430781e-07,-0.000190226825081086,-0.000190226829378633,-4.31004245758682e-05,-4.31004756873402e-05,0.00259003140403041,-0.00259003423010638,0.00343471819998092,-0.00343472161953836
0.07,0.8,-39.7541095395412,341.36325918092,6261.45355541547,0.8,-39.7541079842506,-341.362888335943,6261.45315748868,0.8,3.64973756708062,381.053335976872,4757.73561649985,0.8,3.64974440620657,-381.05296371344,4757.73543280792,-0.110171484498334,3.50298141365208e-07,-0.000153356357041364,-0.000153356357268052,1.27858218421526e-05,1.27857967175769e-05,0.00258942288159234,-0.00258942549009549,0.00343305512297158,-0.00343305812858755
0.08,0.8,-32.3121643361203,341.075702543902,6255.42503215608,0.8,-32.3121648254448,-341.075372011588,6255.42481947417,0.8,12.3470763751263,380.925700486211,4756.95331912914,0.8,12.347077956569,-380.925388274507,4756.95328234521,-0.0959675540759986,2.92107894244146e-07,-0.000127933914828556,-0.00012793390978679,4.93293297904191e-05,4.93293281001106e-05,0.00258795120668794,-0.00258795349499592,0.00343264874308175,-0.00343265124148098
0.09,0.8,-27.666310309865,340.731426080525,6249.54318372735,0.8,-27.6663126683886,-340.731146533045,6249.54313830612,0.8,17.8293382190123,380.840106205408,4755.16522437576,0.8,17.8293354804195,-380.839861196774,4755.16531675097,-0.0869638907559936,2.28738402119647e-07,-0.000111361403809325,-0.000111361393264717,7.29801945626041e-05,7.2980213192455e-05,0.00258650285779056,-0.00258650476027474,0.00343292698246984,-0.00343292892129592
0.1,0.8,-24.6966960648482,340.427368956151,6243.86334938875,0.8,-24.6967000381924,-340.427146552089,6243.8634525358,0.8,21.3755471309315,380.755950587889,4752.68677838802,0.8,21.3755408585196,-380.755775873341,4752.68698250952,-0.0810909181249004,1.63456747152457e-07,-0.000100257887359337,-0.000100257871842363,8.90623186273065e-05,8.9062354399096e-05,0.00258561455657488,-0.0025856160384657,0.00343345539644986,-0.00343345675501842
0.11,0.8,-22.5391469296207,340.216714050974,6238.37862288211,0.8,-22.5391522511292,-340.216551278163,6238.37885550663,0.8,23.9719431410406,380.657516047865,4749.86994042633,0.8,23.971934022854,-380.657411583606,4749.87023931476,-0.0767496506497448,9.890541773113e-08,-9.17479969285514e-05,-9.17479771980054e-05,0.000101500909100152,0.000101500958982778,0.0025855404027153,-0.00258554145366068,0.00343401763971777,-0.00343401842171441
0.12,0.8,-20.6241248145379,340.120496508655,6233.06846031758,0.8,-20.6241312183715,-340.120392999926,6233.06880330932,0.8,26.2462605504355,380.549916535737,4747.01698347192,0.8,26.246249196015,-380.549879892989,4747.01736071664,-0.072903131017585,3.71352587842349e-08,-8.38661744269023e-05,-8.38661512711366e-05,0.000112734788328347,0.00011273484957254,0.00258634319835713,-0.0025863438268751,0.00343457397740597,-0.00343457420510329
0.13,0.8,-18.7030980369257,340.140064193031,6227.91771136501,0.8,-18.7031052799187,-340.140017430367,6227.91814594676,0.8,28.5205553693147,380.449568383581,4744.34587390253,0.8,28.5205423214657,-380.449595354312,4744.34631380685,-0.0690581255040669,-2.03156292832835e-08,-7.58715881083005e-05,-7.58715622128292e-05,0.000123972617194103,0.000123972687339343,0.00258797758810286,-0.0025879778164327,0.00343518606942786,-0.00343518577903903
0.14,0.8,-16.7013774214563,340.26621040968,6222.92772176075,0.8,-16.7013852719562,-340.266216346513,6222.92822979254,0.8,30.9023538441234,380.375316609396,4741.98833567733,0.8,30.9023395861315,-380.375401695346,4741.9888233971,-0.0650573997857104,-7.23618580121212e-08,-6.76439221435631e-05,-6.76438941778005e-05,0.000135575324152799,0.000135575400979123,0.00259034524247538,-0.00259034510259714,0.00343594899161283,-0.00343594822952297
0.15,0.8,-14.6260967388802,340.48545180519,6218.11767270989,0.8,-14.6261049834531,-340.485505369589,6218.11823693586,0.8,33.3771345595453,380.342649075074,4740.00534824345,0.8,33.3771195200619,-380.342785884632,4740.0058699099,-0.0609189514933814,-1.18289522478279e-07,-5.92594985877322e-05,-5.92594691895569e-05,0.000147435484489813,0.00014743556596749,0.00259333208115362,-0.00259333161106888,0.00343694628558604,-0.00343694510524347
0.16,0.8,-12.5291850243623,340.783952343222,6213.51881428361,0.8,-12.5291934694945,-340.784047866813,6213.51941853092,0.8,35.8794833306647,380.361152897561,4738.40884111283,0.8,35.8794678872814,-380.361334469864,4738.40938393316,-0.0567435576914226,-1.57707581973122e-07,-5.09037106329968e-05,-5.09036804042889e-05,0.000159266066225732,0.000159266150486993,0.00259682986317318,-0.002596829104413,0.00343822875130282,-0.00343822721064017
0.17,0.8,-10.4702402555488,341.149316611133,6209.16791285899,0.8,-10.4702487276021,-341.149448146072,6209.16854218786,0.8,38.3371612314691,380.434339357206,4737.1818905631,0.8,38.337145713693,-380.434558428985,4737.18244289788,-0.0526450588457361,-1.90470880228421e-07,-4.27756535062199e-05,-4.27756230142885e-05,0.000170771804424752,0.00017077188975547,0.00260074403729434,-0.0026007430324596,0.00343981067418045,-0.00343980883345414
0.18,0.8,-8.4965679214513,341.571002061186,6205.10167753863,0.8,-8.49657626803188,-341.571163650741,6205.10231835481,0.8,40.6934032571799,380.560795909627,4736.29405041502,0.8,40.6933879486384,-380.561045136005,4736.2946018315,-0.04871383087019,-2.16648953057937e-07,-3.50279340470845e-05,-3.50279038169034e-05,0.000181731186492713,0.000181731271342142,0.00260499396122002,-0.00260499275262757,0.00344167602806049,-0.00344167394804742
0.19,0.8,-6.63705636036677,342.040032995848,6201.35285564985,0.8,-6.63706445068883,-342.040218853096,6201.35349577669,0.8,42.9136685303988,380.735805225742,4735.71116654084,0.8,42.9136536720156,-380.736077363311,4735.71170784284,-0.0450055031881781,-2.36462373891192e-07,-2.77487637598687e-05,-2.7748734264883e-05,0.000192017699748373,0.000192017782736621,0.00260950978299381,-0.00260950841110501,0.00344378853886476,-0.00344378627935308
0.2,0.8,-4.90350820694086,342.548484039412,6197.9479701086,0.8,-4.90351593151283,-342.54868869949,6197.9485988299,0.8,44.9838560482401,380.952875731716,4735.40061218228,0.8,44.9838418390787,-380.953163789403,4735.4011354184,-0.0415434680402914,-2.5026575747277e-07,-2.0968549977187e-05,-2.0968521631283e-05,0.000201588480439643,0.000201588560375164,0.00261422868095831,-0.00261422718393428,0.00344610152308537,-0.0034460991416335
0.21,0.8,-3.29527236354605,343.088996796243,6194.9063648862,0.8,-3.29527963363976,-343.089215184121,6194.90697295467,0.8,46.9046883640247,381.20492082918,4735.33329999126,0.8,46.9046749648749,-381.205218191268,4735.33379844306,-0.0383275900382172,-2.58488948892696e-07,-1.46766860591461e-05,-1.46766592128936e-05,0.000210459341772891,0.000210459417652175,0.0026190918157917,-0.00261909022861855,0.0034485655937465,-0.00344856314466659
0.22,0.8,-1.80426404560218,343.654443131047,6192.24012786472,0.8,-1.80427079289777,-343.654670622376,6192.24070748824,0.8,48.6857038493524,381.485026264908,4735.48382944713,0.8,48.6856913846408,-381.485326789094,4735.48429759908,-0.0353436142343332,-2.61632492298514e-07,-8.83891569518438e-06,-8.83889063011628e-06,0.000218679590159571,0.000218679661169659,0.00262404246528808,-0.0026240408200464,0.00345113367360771,-0.00345113120716405
0.23,0.8,-0.419146434898157,344.237753968884,6189.95451837511,0.8,-0.41915260930952,-344.237986375853,6189.9550631737,0.8,50.3402753780971,381.786860954207,4735.8297739106,0.8,50.3402639394062,-381.787159047383,4735.83020740392,-0.0325710045885053,-2.60213489141261e-07,-3.41133927376951e-06,-3.4113162087668e-06,0.00022631193799695,0.00022631200350609,0.00262902527870297,-0.00262902360414951,0.00345376364863123,-0.00345376121041825
0.24,0.8,0.871916470820601,344.831884316426,6188.04862099302,0.8,0.871910902085932,-344.832117900402,6188.04912594034,0.8,51.8823463008319,382.10483029392,4736.35077964202,0.8,51.8823359489156,-382.105120967393,4736.35117521407,-0.0299881066990015,-2.54778367339204e-07,1.65050268703964e-06,1.65052359684531e-06,0.000233419606615792,0.000233419666168496,0.00263398636348248,-0.00263398468562069,0.00345641927811339,-0.00345641690861451
0.25,0.8,2.07963752467722,345.429868448049,6186.51606572767,0.8,2.0796325791499,-345.430099871858,6186.51652707046,0.8,53.3245141833668,382.434073849053,4737.02778896387,0.8,53.3245049527426,-382.434352755004,4737.02814437543,-0.0275751914623136,-2.45856709475491e-07,6.38648526895561e-06,6.38650392558641e-06,0.000240059152283345,0.000240059205579334,0.00263887385808906,-0.00263887219991508,0.00345907006977828,-0.00345906780407586
0.26,0.8,3.21311946273256,346.02492227259,6185.34571783055,0.8,3.21311514498915,-346.025148598693,6185.34613299941,0.8,54.6774728139099,382.770385716231,4737.84255321404,0.8,54.6774647144958,-382.770649166739,4737.84286716698,-0.025315351331866,-2.33983448182368e-07,1.08305294131431e-05,1.08305457688084e-05,0.000246278654921524,0.000246278701808194,0.00264363871797281,-0.00264363710010036,0.0034616905998291,-0.00346168846746963
0.27,0.8,4.27978998346454,346.610559368644,6184.52231666066,0.8,4.27978628634072,-346.61077800666,6184.52268416616,0.8,55.9499389946094,383.110112926295,4738.7773878706,0.8,55.9499320165131,-383.110357896633,4738.77765991875,-0.0231946453021816,-2.19658745037266e-07,1.50105171193741e-05,1.5010531171147e-05,0.000252117669735626,0.000252117710186041,0.00264823549980961,-0.00264823394021742,0.00346425971171713,-0.00346425773670188
0.28,0.8,5.28561296269583,347.180699279075,6184.02706869295,0.8,5.28560986943581,-347.180907986568,6184.02738801943,0.8,57.1489166855606,383.450061784642,4739.81510551851,0.8,57.148910801042,-383.450285902236,4739.81533597277,-0.0212017064907717,-2.03375640298822e-07,1.89492065620093e-05,1.89492183452198e-05,0.000257608610078486,0.000257608644178676,0.00265262303124956,-0.0026526215458566,0.00346675977582622,-0.00346675797673011
0.29,0.8,6.23551615638091,347.729758392301,6183.83819741515,0.8,6.23551364236316,-347.729955229078,6183.83846890619,0.8,58.2802110184871,383.787422303619,4740.93908068586,0.8,58.2802061858036,-383.787623824565,4740.93927051775,-0.0193269338047553,-1.85583444742997e-07,2.26656635015181e-05,2.26656730866202e-05,0.000262778777224619,0.000262778805153734,0.00265676492903998,-0.00265676353139729,0.00346917606014874,-0.00346917445033579
0.3,0.8,7.1337163537363,348.252719484645,6183.93146532155,0.8,7.13371438778076,-348.25290282175,6183.93169006876,0.8,59.3488178746421,384.1197133593,4742.13336462734,0.8,59.3488140399614,-384.119891134074,4742.13351537172,-0.0175619115439243,-1.66717583606119e-07,2.61764218635325e-05,2.61764293498588e-05,0.000267652086698381,0.000267652108718332,0.00266062994567578,-0.00266062864746542,0.0034714962650907,-0.00347149485302635
0.31,0.8,7.98382306870668,348.745179679624,6184.28069159593,0.8,7.98382161504715,-348.745348161866,6184.28087132435,0.8,60.3590380613719,384.444746737083,4743.38277096447,0.8,60.3590351623264,-384.444900167483,4743.38288462404,-0.0158992333849661,-1.47164954606827e-07,2.94959026058814e-05,2.94959081113717e-05,0.000272249519855332,0.000272249536289262,0.00266419215382367,-0.00266419096450843,0.00347371022076317,-0.00347370901039072
0.32,0.8,8.78915082490876,349.20338094747,6184.8582466388,0.8,8.7891498443929,-349.203533510171,6184.85838360028,0.8,61.3148594406619,384.760600581428,4744.67298330244,0.8,61.3148574073857,-384.7607295705,4744.6730622552,-0.0143319242272661,-1.27295967995633e-07,3.2637300517788e-05,3.26373041782314e-05,0.000276590505559785,0.000276590516787718,0.00266743101643649,-0.00266742994367423,0.00347580961441534,-0.00347580860559551
0.33,0.8,9.55268907635198,349.624225108444,6185.63553936965,0.8,9.55268852723254,-349.624360945951,6185.63563623639,0.8,62.2199041940871,385.065601077234,4745.99060506887,0.8,62.219902953106,-385.065705974245,4745.99065198091,-0.0128535251769102,-1.07431623291249e-07,3.56126447109462e-05,3.56126466759308e-05,0.000280692831095708,0.000280692837530071,0.00267033133929546,-0.00267033038860482,0.00347778782636253,-0.00347778701534439
0.34,0.8,10.2771887275538,350.005276163843,6186.58348637155,0.8,10.2771885654675,-350.005394744771,6186.58354614102,0.8,63.0775360870953,385.358307290123,4747.32319028156,0.8,63.0775355596709,-385.358388833196,4747.32320802502,-0.0114579510650757,-8.7937000074066e-08,3.84330277350956e-05,3.84330281705466e-05,0.000284573059751072,0.000284573061851353,0.00267288314190643,-0.00267288231709379,0.00347963977571105,-0.00347963915560435
0.35,0.8,10.965157246603,350.344752483536,6187.67295560088,0.8,10.965157429284,-350.344853509579,6187.67298149816,0.8,63.8908458336833,385.637496957874,4748.65925388238,0.8,63.890845944329,-385.637556219636,4748.65924545861,-0.0101395271275318,-6.89331604058246e-08,4.11085389945099e-05,4.11085380524793e-05,0.000288246342486758,0.000288246340678655,0.00267508145925346,-0.00267508076211241,0.00348136178626354,-0.00348136134752644
0.36,0.8,11.6189207589541,350.641510019862,6188.87517851595,0.8,11.6189212440096,-350.641593479249,6188.87517391785,0.8,64.6627255558143,385.902152630567,4749.98827373026,0.8,64.6627262263325,-385.902190947578,4749.98824220465,-0.00889287173123628,-5.07246391683016e-08,4.36485401590573e-05,4.36485379992932e-05,0.000291726832372051,0.000291726827130148,0.00267692608595269,-0.00267692551634206,0.00348295145293476,-0.0034829511839916
0.37,0.8,12.229120044938,350.903740538885,6190.0263851997,0.8,12.2291220039218,-350.903805851159,6190.02638857138,0.8,65.399610660798,386.151261804726,4751.29834609108,0.8,65.3996097133703,-386.151282335768,4751.29829873423,-0.00769294207989025,-4.41125558167075e-08,4.60123667778225e-05,4.60123663572891e-05,0.00029505785502887,0.00029505787111888,0.00267860089106834,-0.00267860046005903,0.00348440600827977,-0.00348440587178222
0.38,0.8,12.8259914212237,351.143427000897,6190.98220400575,0.8,12.8259912002867,-351.14347940272,6190.98220302875,0.8,66.12515648939,386.390874881161,4752.41728015839,0.8,66.1251575450041,-386.390880752288,4752.41724595399,-0.00654581675560154,-2.43912841749345e-08,4.8342756219325e-05,4.83427582420268e-05,0.000298321620375638,0.000298321603420114,0.00268009695524668,-0.00268009659591948,0.00348592996850845,-0.0034859299580532
0.39,0.8,13.3998646018573,351.333988776355,6191.91120730161,0.8,13.3998641399227,-351.334031331542,6191.91118486582,0.8,66.7841595473336,386.6187879624,4753.38487750212,0.8,66.7841615037339,-386.618781934887,4753.38483329838,-0.00547591729807995,-1.28009851978635e-08,5.05696975995508e-05,5.05696988374831e-05,0.00030128494159753,0.000301284929108189,0.00268112833656605,-0.00268112804575521,0.00348736848235709,-0.003487368564465
0.4,0.8,13.9424093718433,351.464221546912,6192.91083972079,0.8,13.9424094949613,-351.464253580657,6192.91078920079,0.8,67.4063519113804,386.824119679708,4754.32169864486,0.8,67.4063542334073,-386.824102747252,4754.32163616858,-0.00446763532116618,-2.52716312168273e-09,5.26681428841006e-05,5.26681414515966e-05,0.000304088009532232,0.000304087996442555,0.00268167868824164,-0.0026816784770387,0.00348859487994892,-0.00348859504850751
0.41,0.8,14.4533925631383,351.53995413213,6194.00617648747,0.8,14.4533933516732,-351.539974131551,6194.00609865859,0.8,67.9982884962036,387.007206433359,4755.26856865875,0.8,67.9982907937147,-387.00717875426,4755.26848777176,-0.00351568195923624,8.0477669665169e-09,5.46425964442521e-05,5.46425924910064e-05,0.000306754891059476,0.000306754876897135,0.00268183081029607,-0.00268183069092549,0.00348963119617877,-0.00348963145101445
0.42,0.8,14.9355775819403,351.571748434843,6195.18087625929,0.8,14.9355788555023,-351.571755315723,6195.18077522357,0.8,68.5620376450345,387.172571462568,4756.22911491099,0.8,68.5620400331897,-387.172533291318,4756.22901845955,-0.00261557633393925,1.89857674348536e-08,5.65058752415131e-05,5.65058695486418e-05,0.000309290055596737,0.000309290040058819,0.00268167112088881,-0.0026816710996578,0.00349052095414693,-0.00349052129309076
0.43,0.8,15.3922129181377,351.568143463606,6196.40404274999,0.8,15.3922144794367,-351.568136929121,6196.40392325634,0.8,69.0986540907638,387.323818013261,4757.19460999643,0.8,69.09865669688,-387.323769968865,4757.19450134789,-0.00176326973607255,2.98166346730833e-08,5.82706018517369e-05,5.82705951308008e-05,0.000311698411515531,0.000311698394325109,0.00268125841566251,-0.0026812584928894,0.00349129302684955,-0.00349129344443468
0.44,0.8,15.8259365936408,351.534259854087,6197.6449624099,0.8,15.8259383100633,-351.534240268507,6197.64482872172,0.8,69.6091787124631,387.46263777653,4758.15454677484,0.8,69.6091815601764,-387.462580793329,4758.15442903388,-0.00095520108950326,4.00367250030619e-08,5.99465197438839e-05,5.9946512450961e-05,0.000313985926713146,0.000313985908000765,0.0026806259237212,-0.00268062609512334,0.00349196035150045,-0.00349196083975899
