Time,e_y,e_yaw,e_yawrate,e_beta
0,-7.57870211032241e-09,4.06005699178523e-10,0,0
0.01,-7.64067120684331e-09,4.10909948073332e-10,5.79196713869164e-10,-6.22431530541465e-11
0.02,-7.81370790292613e-09,4.15032655993876e-10,1.00622409640298e-09,-2.03419777172502e-10
0.03,-8.08226729986927e-09,4.17435735346879e-10,1.47097771029579e-09,-3.98323013083323e-10
0.04,-8.40918001898672e-09,4.19552733064364e-10,1.98698234928934e-09,-6.21851843925877e-10
0.05,-8.75696049007502e-09,4.22065105582432e-10,2.50657843713917e-09,-8.55499557945538e-10
0.06,-9.07525965487821e-09,4.26479115699047e-10,2.98518507618651e-09,-1.08555755405157e-09
0.07,-9.3324912242565e-09,4.33180679204675e-10,3.39258600611556e-09,-1.30174198485405e-09
0.08,-9.5011856160454e-09,4.41936767543057e-10,3.71079217929952e-09,-1.49651050577705e-09
0.09,-9.56418144681948e-09,4.53679894923537e-10,3.93137700031206e-09,-1.66464157246029e-09
0.1,-9.51147871575131e-09,4.67258062210294e-10,4.05222431329976e-09,-1.80287774965284e-09
0.11,-9.34977606448228e-09,4.83290461030502e-10,4.0751695798079e-09,-1.90959687698297e-09
0.12,-9.08337316474217e-09,5.0013181495777e-10,4.00461167910402e-09,-1.98449181365813e-09
0.13,-8.73448424698609e-09,5.18347610541866e-10,3.84668534612781e-09,-2.02828660026204e-09
0.14,-8.31687962943306e-09,5.35869902607793e-10,3.60884457493561e-09,-2.04248318796667e-09
0.15,-7.85875631237332e-09,5.53368135706198e-10,3.2995874142193e-09,-2.02915477421382e-09
0.16,-7.37669658690265e-09,5.68644888581497e-10,2.92838192086436e-09,-1.99076674591586e-09
0.17,-6.89725165869959e-09,5.82470087464625e-10,2.50545423814188e-09,-1.93004045203864e-09
0.18,-6.43485442708425e-09,5.92611604130375e-10,2.04171345157687e-09,-1.84983435708251e-09
0.19,-6.00834226816005e-09,6.00140610612139e-10,1.54848009994499e-09,-1.75305946114703e-09
0.2,-5.62645929846894e-09,6.03041790212999e-10,1.03736078100189e-09,-1.64260210079033e-09
0.21,-5.29672750104737e-09,6.02882429408474e-10,5.19885141008131e-10,-1.52127693266871e-09
0.22,-5.02009900316125e-09,5.97947746930878e-10,7.32803139395999e-12,-1.39177963390668e-09
0.23,-4.79495465555146e-09,5.90144826932326e-10,-4.89723387641074e-10,-1.25666681930784e-09
0.24,-4.6164743139343e-09,5.7806469593364e-10,-9.61540891392996e-10,-1.1183276095211e-09
0.25,-4.47730030828097e-09,5.63799914681895e-10,-1.39964100212785e-09,-9.78977240116575e-10
0.26,-4.36954028515402e-09,5.46144063593306e-10,-1.79686575337106e-09,-8.40637953744621e-10
0.27,-4.28379731687301e-09,5.27276175346238e-10,-2.14764999907e-09,-7.051390568008e-10
0.28,-4.21178469878214e-09,5.06077891109238e-10,-2.44797202714717e-09,-5.74102832044903e-10
0.29,-4.14473344534372e-09,4.8470023323361e-10,-2.6954856343004e-09,-4.48948638446268e-10
0.3,-4.07637212873624e-09,4.62066964642563e-10,-2.88934334268137e-09,-3.30882856504592e-10
0.31,-4.00020194746276e-09,4.40139687066404e-10,-3.03021112765237e-09,-2.20906825044209e-10
0.32,-3.91318799586315e-09,4.17904813281476e-10,-3.11999641881479e-09,-1.19811282763173e-10
0.33,-3.81143294703179e-09,3.97036563126502e-10,-3.16177519307632e-09,-2.81881128273279e-11
0.34,-3.69577435321844e-09,3.76515862771461e-10,-3.15919008901514e-09,5.35785949718745e-11
0.35,-3.56371909759901e-09,3.57763792170672e-10,-3.11682499406199e-09,1.25285217414724e-10
0.36,-3.42030581634845e-09,3.39773484539978e-10,-3.04022134002485e-09,1.86876995370536e-10
0.37,-3.2627998081125e-09,3.23852338806873e-10,-2.9153403248928e-09,2.39910187273708e-10
0.38,-3.09364001083168e-09,3.09488565094156e-10,-2.79079114554934e-09,2.83726868110752e-10
0.39,-2.92061042017622e-09,2.95963195342523e-10,-2.65045413390885e-09,3.19868583182266e-10
0.4,-2.73944777973156e-09,2.841655538102e-10,-2.49537573437022e-09,3.4926284356623e-10
0.41,-2.5622837185324e-09,2.7310625819383e-10,-2.32930069689649e-09,3.71757390179833e-10
0.42,-2.38185293710558e-09,2.63474440485041e-10,-2.15752300396302e-09,3.87020480076984e-10
0.43,-2.21068408023939e-09,2.54440275549172e-10,-1.98477709488174e-09,3.94968406829103e-10
0.44,-2.03843253387959e-09,2.46507055748513e-10,-1.81458827773991e-09,3.95828730597816e-10
0.45,-1.87800530682125e-09,2.39027485947542e-10,-1.64933747050996e-09,3.90072877930515e-10
0.46,-1.71666325599062e-09,2.32366266935827e-10,-1.4907881165402e-09,3.78316090343119e-10
0.47,-1.56758694913606e-09,2.26068279026995e-10,-1.34032752394771e-09,3.61255435890602e-10
0.48,-1.41646960827302e-09,2.20308357105625e-10,-1.19921701286492e-09,3.39623706750458e-10
0.49,-1.27686483608613e-09,2.14843175865462e-10,-1.06852505220046e-09,3.14172611384872e-10
0.5,-1.13358478159853e-09,2.09700299029422e-10,-9.49178593372391e-10,2.85652769467952e-10
0.51,-1.00080743692388e-09,2.04802113815054e-10,-8.41855355628988e-10,2.5480619516906e-10
0.52,-8.63010107821083e-10,2.00044558921213e-10,-7.47048135409278e-10,2.22349860789383e-10
