Time,Road_FR_mu,FR_x,FR_y,FR_z,Road_FL_mu,FL_x,FL_y,FL_z,Road_RR_mu,RR_x,RR_y,RR_z,Road_RL_mu,RL_x,RL_y,RL_z,Ax,Ay,long_slip_FL,long_slip_FR,long_slip_RL,long_slip_RR,lat_slip_FL,lat_slip_FR,lat_slip_RL,lat_slip_RR
0,0.8,0.918874716205208,339.424735025636,6243.09717752744,0.8,0.918875563733943,-339.424866225068,6243.0945166486,0.8,1.36942425714847,383.863102642675,4719.41366179014,0.8,1.36942393201456,-383.862990581876,4719.41145197675,-0.0757319378848532,7.78983551612492e-08,3.49506744933909e-06,3.49506349307105e-06,6.22450123880911e-06,6.22450053572859e-06,0.00257921020463163,-0.00257920867085953,0.00348010765043234,-0.0034801074483799
0.01,0.8,-126.201977506749,338.00364964103,6264.02856219593,0.8,-126.201954086033,-338.0036381183,6264.02647196319,0.8,-107.517900648529,382.358079347194,4746.97876989054,0.8,-107.51787261676,-382.357873332901,4746.97715612267,-0.280740672312198,2.1129852787813e-07,-0.000322381238524583,-0.00032238110868216,-0.000354428032366349,-0.000354428135298878,0.00255968747784847,-0.00255968796488162,0.00344465800256879,-0.00344465963117486
0.02,0.8,-128.994505509769,337.988054685909,6274.69920540212,0.8,-128.994485679152,-337.987855754882,6274.69754742058,0.8,-97.3304182782441,381.985881486221,4753.5275962147,0.8,-97.3303630832171,-381.98554759499,4753.52635882958,-0.277681528060958,3.71949943951886e-07,-0.00047844200365485,-0.000478441971905158,-0.000453340333978644,-0.000453340461457566,0.00256501835366583,-0.00256502015120575,0.00344538875260102,-0.00344539160049104
0.03,0.8,-111.139860886878,339.168707511891,6278.21769941932,0.8,-111.139848743037,-339.168388344727,6278.21636588215,0.8,-77.409200194518,382.208266404477,4753.23126905596,0.8,-77.4091560844157,-382.207851069388,4753.23030314865,-0.243866058687399,4.40980952699772e-07,-0.000410740855817466,-0.000410740855314546,-0.000332214805103394,-0.000332214946696043,0.00257540337350261,-0.00257540588679179,0.0034470314978435,-0.00344703499475119
0.04,0.8,-87.9824663225862,340.397314946228,6276.80746697473,0.8,-87.9824577217283,-340.396934737691,6276.80640348657,0.8,-51.0754968226476,382.018647486566,4754.3946669958,0.8,-51.0754657528824,-382.018197242838,4754.39392953044,-0.200541925707676,4.54137414552399e-07,-0.000330756462069197,-0.000330756469143445,-0.000215073310277239,-0.00021507341609418,0.00258394550206828,-0.00258394833990111,0.00344278064647164,-0.00344278438623769
0.05,0.8,-67.2870329756742,341.168361128107,6272.73541652643,0.8,-67.2870269686994,-341.167961514688,6272.73459327926,0.8,-28.89969729011,381.623427409475,4756.11977845877,0.8,-28.8996760065598,-381.622978679974,4756.11924429297,-0.162790758805417,4.35910747141504e-07,-0.000252761011426229,-0.000252761019164763,-0.000122829903114965,-0.000122829980370257,0.0025885444722574,-0.00258854736866244,0.00343809197145834,-0.00343809565952725
0.06,0.8,-51.7634700151769,341.440672552436,6267.30508114161,0.8,-51.7634662316476,-341.440282732787,6267.30447821168,0.8,-9.96630880224278,381.287465618725,4757.3822531967,0.8,-9.96629554216667,-381.287045174187,4757.38190240421,-0.132656908926051,3.97705827267703e-07,-0.000197239104105799,-0.000197239108918409,-4.45354845739523e-05,-4.45355352565342e-05,0.00258992385434488,-0.00258992662357006,0.00343483332878148,-0.00343483675429737
0.07,0.8,-40.4052234591515,341.347456442795,6261.38089122175,0.8,-40.405221889038,-341.347095966186,6261.38049148122,0.8,3.29354404037156,381.066038257966,4757.72119026034,0.8,3.29355077863288,-381.06566488314,4757.72100449211,-0.111084774689032,3.466903792706e-07,-0.000157867776851526,-0.000157867777031637,1.12348290670217e-05,1.12348044946389e-05,0.00258929508475868,-0.00258929760728969,0.00343317312236911,-0.00343317613988998
0.08,0.8,-32.8616491854603,341.060596733109,6255.39521407625,0.8,-32.8616497447013,-341.060277987257,6255.39500030202,0.8,12.0052709077443,380.936477158444,4756.92793392867,0.8,12.0052723540397,-380.936163249583,4756.92789535939,-0.0967643744187656,2.88030555555832e-07,-0.000131186314064082,-0.000131186308653405,4.78820908619033e-05,4.78820897991998e-05,0.002587846873697,-0.00258784907529721,0.00343274616130069,-0.0034327486764715
0.09,0.8,-28.0805014948742,340.72064288676,6249.54359091196,0.8,-28.0805039680638,-340.720372952909,6249.54354497202,0.8,17.5379188764738,380.847743907448,4755.1404947522,0.8,17.5379159871402,-380.847496801542,4755.14058577896,-0.0875912186766584,2.25619610684899e-07,-0.000113676368201579,-0.000113676357208431,7.17551505775925e-05,7.17551698474052e-05,0.00258643583085383,-0.00258643767155559,0.00343299372535753,-0.00343299568372548
0.1,0.8,-24.9682594931899,340.421463589436,6243.88470659942,0.8,-24.9682636038818,-340.421245081262,6243.88480949019,0.8,21.1498126947121,380.760504085812,4752.67111680818,0.8,21.1498062773561,-380.7603271313,4752.67132002952,-0.0815310739685626,1.62681270684036e-07,-0.000101696151777232,-0.000101696135807035,8.81110250784468e-05,8.81110614165555e-05,0.00258558165098367,-0.00258558312199492,0.00343349199108136,-0.00343349336943927
